optimizer,learning_rate,weight_decay,beta_1,beta_2,eps,num_epochs,batch_size,layer_depth,n_layers,activation_function,train_error,test_error,training_set_size,train_time,version,scenario
adam,0.001,1e-05,0.9,0.999,1e-08,750,64,2,2,Sigmoid,0.08646930754184723,0.08019643276929855,128,1,1,sum_sines_6d
adam,0.001,0.0,0.9,0.999,1e-08,750,64,2,2,Sigmoid,0.10546520352363586,0.10310773551464081,128,1,1,sum_sines_6d
adam,0.001,1e-06,0.9,0.999,1e-08,750,64,2,2,Sigmoid,0.3769928812980652,0.3926832675933838,128,1,1,sum_sines_6d
adam,0.001,1e-06,0.9,0.999,1e-08,500,64,2,2,Sigmoid,0.45065778493881226,0.4651600122451782,128,0,1,sum_sines_6d
adam,0.001,1e-05,0.9,0.999,1e-08,500,64,2,2,Sigmoid,0.7030801773071289,0.7231254577636719,128,0,1,sum_sines_6d
adam,0.0003,0.0,0.9,0.999,1e-08,750,64,2,2,Sigmoid,0.9409874677658081,0.9514703750610352,128,1,1,sum_sines_6d
adam,0.001,0.0,0.9,0.999,1e-08,500,64,2,2,Sigmoid,0.9881104230880737,0.9971609115600586,128,0,1,sum_sines_6d
lion,0.0003,1e-05,0.9,0.99,,500,64,2,2,Sigmoid,1.0817054510116577,1.0869414806365967,128,0,1,sum_sines_6d
lion,0.0003,1e-05,0.9,0.99,,50,64,2,2,Sigmoid,1.17210853099823,1.1786483526229858,128,0,1,sum_sines_6d
adam,0.001,0.0,0.9,0.999,1e-08,250,64,2,2,Sigmoid,1.178995132446289,1.187491536140442,128,0,1,sum_sines_6d
lion,0.0003,1e-05,0.9,0.99,,250,64,2,2,Sigmoid,1.225621223449707,1.2292184829711914,128,0,1,sum_sines_6d
adam,0.001,1e-06,0.9,0.999,1e-08,250,64,2,2,Sigmoid,1.4164302349090576,1.4289894104003906,128,0,1,sum_sines_6d
adam,0.001,1e-05,0.9,0.999,1e-08,250,64,2,2,Sigmoid,1.463853120803833,1.477644920349121,128,0,1,sum_sines_6d
lion,0.0003,1e-05,0.9,0.99,,500,64,2,2,Sigmoid,1.5510932207107544,1.5658040046691895,128,0,1,sum_sines_6d
adam,0.0003,1e-05,0.9,0.999,1e-08,250,64,2,2,Sigmoid,1.7836318016052246,1.8019683361053467,128,0,1,sum_sines_6d
adam,0.0003,0.0,0.9,0.999,1e-08,50,64,2,2,Sigmoid,1.851315975189209,1.855453610420227,128,0,1,sum_sines_6d
lion,0.0003,1e-05,0.9,0.99,,50,64,2,2,Sigmoid,2.0061070919036865,2.0213515758514404,128,0,1,sum_sines_6d
lion,0.0003,1e-05,0.9,0.99,,500,64,2,2,Sigmoid,2.015247344970703,2.0287160873413086,128,0,1,sum_sines_6d
lion,0.0003,1e-05,0.9,0.99,,100,64,2,2,Sigmoid,2.039034366607666,2.0565996170043945,128,0,1,sum_sines_6d
adam,0.0003,0.0,0.9,0.999,1e-08,250,64,2,2,Sigmoid,2.0595531463623047,2.074418544769287,128,0,1,sum_sines_6d
lion,0.0003,1e-05,0.9,0.99,,50,64,2,2,Sigmoid,2.073735237121582,2.092489004135132,128,0,1,sum_sines_6d
adam,0.001,1e-06,0.9,0.999,1e-08,50,64,2,2,Sigmoid,2.1128549575805664,2.124316692352295,128,0,1,sum_sines_6d
adam,0.0003,1e-06,0.9,0.999,1e-08,500,64,2,2,Sigmoid,2.1423771381378174,2.1603505611419678,128,0,1,sum_sines_6d
adam,0.0003,1e-06,0.9,0.999,1e-08,750,64,2,2,Sigmoid,2.1538758277893066,2.1647820472717285,128,1,1,sum_sines_6d
lion,0.0003,1e-05,0.9,0.99,,500,64,2,2,Sigmoid,2.187288761138916,2.196523666381836,128,0,1,sum_sines_6d
adam,0.001,0.0,0.9,0.999,1e-08,50,64,2,2,Sigmoid,2.2392959594726562,2.259910821914673,128,0,1,sum_sines_6d
lion,0.0003,1e-05,0.9,0.99,,100,64,2,2,Sigmoid,2.254688024520874,2.2704029083251953,128,0,1,sum_sines_6d
lion,0.0003,1e-05,0.9,0.99,,100,64,2,2,Sigmoid,2.302492618560791,2.312641143798828,128,0,1,sum_sines_6d
lion,0.0003,1e-05,0.9,0.99,,50,64,2,2,Sigmoid,2.3008952140808105,2.315847396850586,128,0,1,sum_sines_6d
lion,0.0003,1e-05,0.9,0.99,,250,64,2,2,Sigmoid,2.358057975769043,2.3746933937072754,128,0,1,sum_sines_6d
adam,0.001,0.0,0.9,0.999,1e-08,100,64,2,2,Sigmoid,2.378114938735962,2.3973402976989746,128,0,1,sum_sines_6d
lion,0.0003,1e-05,0.9,0.99,,100,64,2,2,Sigmoid,2.427255392074585,2.4438364505767822,128,0,1,sum_sines_6d
lion,0.0003,1e-05,0.9,0.99,,250,64,2,2,Sigmoid,2.484851360321045,2.504096269607544,128,0,1,sum_sines_6d
adam,0.0003,0.0,0.9,0.999,1e-08,500,64,2,2,Sigmoid,2.515347957611084,2.534167528152466,128,0,1,sum_sines_6d
adam,0.0003,1e-05,0.9,0.999,1e-08,50,64,2,2,Sigmoid,2.530991792678833,2.549654483795166,128,0,1,sum_sines_6d
lion,0.0003,1e-05,0.9,0.99,,500,64,2,2,Sigmoid,2.5553619861602783,2.5737223625183105,128,0,1,sum_sines_6d
adam,0.0003,1e-06,0.9,0.999,1e-08,100,64,2,2,Sigmoid,2.6394052505493164,2.658414363861084,128,0,1,sum_sines_6d
lion,0.0003,1e-05,0.9,0.99,,250,64,2,2,Sigmoid,2.677016019821167,2.696387767791748,128,0,1,sum_sines_6d
lion,0.0003,1e-05,0.9,0.99,,250,64,2,2,Sigmoid,2.676426887512207,2.6966748237609863,128,0,1,sum_sines_6d
adam,0.0003,0.0,0.9,0.999,1e-08,100,64,2,2,Sigmoid,2.694352149963379,2.71409010887146,128,0,1,sum_sines_6d
adam,0.0003,1e-05,0.9,0.999,1e-08,500,64,2,2,Sigmoid,2.7232108116149902,2.743335723876953,128,0,1,sum_sines_6d
adam,0.001,1e-05,0.9,0.999,1e-08,100,64,2,2,Sigmoid,2.782813310623169,2.8030202388763428,128,0,1,sum_sines_6d
lion,0.0003,1e-05,0.9,0.99,,50,64,2,2,Sigmoid,2.960629463195801,2.9807839393615723,128,0,1,sum_sines_6d
adam,0.001,1e-05,0.9,0.999,1e-08,50,64,2,2,Sigmoid,2.9876503944396973,3.0076301097869873,128,0,1,sum_sines_6d
adam,0.0003,1e-06,0.9,0.999,1e-08,50,64,2,2,Sigmoid,3.0101189613342285,3.0292797088623047,128,0,1,sum_sines_6d
adam,0.001,1e-06,0.9,0.999,1e-08,100,64,2,2,Sigmoid,3.02341890335083,3.043987989425659,128,0,1,sum_sines_6d
adam,0.0003,1e-05,0.9,0.999,1e-08,100,64,2,2,Sigmoid,3.051542043685913,3.072021961212158,128,0,1,sum_sines_6d
lion,0.0003,1e-05,0.9,0.99,,500,64,2,2,Sigmoid,3.1476783752441406,3.167353630065918,128,0,1,sum_sines_6d
lion,0.0003,1e-05,0.9,0.99,,100,64,2,2,Sigmoid,3.178684949874878,3.1979384422302246,128,0,1,sum_sines_6d
lion,0.0003,1e-05,0.9,0.99,,100,64,2,2,Sigmoid,3.213322639465332,3.2345588207244873,128,0,1,sum_sines_6d
lion,0.0003,1e-05,0.9,0.99,,250,64,2,2,Sigmoid,3.2771451473236084,3.297412872314453,128,0,1,sum_sines_6d
adam,0.0003,1e-06,0.9,0.999,1e-08,250,64,2,2,Sigmoid,3.5694639682769775,3.589938163757324,128,0,1,sum_sines_6d
lion,0.0003,1e-05,0.9,0.99,,50,64,2,2,Sigmoid,3.653979539871216,3.6725916862487793,128,0,1,sum_sines_6d
